question	disposition	evidence
control_execution	complete	One invocation, rc 0, 1.877 s; raw payload reproduced accepted SHA-256 26c62c19.
experiment_execution	complete	One invocation, rc 0, 1.817 s; no retry.
raw_validity	verified	V5 429x2284 and V6 453x2284; all stored doubles finite; strict 0-to-4 ns time.
source_delta	verified	Four removed and eight added lines; four matched rppd sink-series devices; no other source change.
geometry_lower_bounds	verified	w=2.0u and l=1.0u exceed installed explicit 0.50 um lower bounds.
geometry_upper_bounds	not-established	No explicit upper width or length bound was found in the cited installed sources.
branch_current	unknown	No XRSINK branch-current vector was saved; no current is inferred.
waveform_comparison	measured	Ten differential crossings per side over 2-to-4 ns; full coordinates are in the public TSV.
candidate_improvement	not-evaluated	No applicable specification or reliability limit was supplied for these coordinates.
signoff	not-evaluated	No human signoff or foundry approval is claimed.
