metric_name	value	evidence_boundary
thermal_vector_probe_marker_count	1	Exact native log.
target_instance	q.xdiv2.xqs_comp_s.qnpn13g2	Exact vector-probe marker.
thermal_node	100	Exact vector-probe marker.
iteration_number	3	Exact vector-probe marker.
CKTtime_at_load	0	Captured at load site; exact vector-probe marker.
CKTmode_at_load	1056	Captured at load site; exact vector-probe marker.
old_before_load_hex	0x1.c72b23f8bee14p+4	Finite positive; exact vector-probe marker.
assembled_before_solve_hex	0x1.4322d5214a7cfp-5	Finite positive; exact vector-probe marker.
solved_after_solve_hex	-0x1.6cdd6aab2657p+9	Finite negative; exact vector-probe marker.
after_damping_hex	-0x1.6cdd6aab2657p+9	Finite negative and text-equal to solved value; exact vector-probe marker.
old_after_swap_hex	-0x1.6cdd6aab2657p+9	Finite negative and text-equal to solved value; exact vector-probe marker.
supported_localization	SIGN_EMERGENCE_WITHIN_COUPLED_MNA_SOLVE_INTERVAL	The aggregate thermal row is finite positive immediately before unchanged SMPsolve and finite negative immediately after it; damping and swap preserve the printed value.
device_or_terminal_cause	NOT_ESTABLISHED	Probe has no per-device contribution or matrix-field access; coupled-MNA observation is aggregate.
marker_order	vector:3,transition:6,temp:9,ibe:13,term:18,decomp:48,stamp:83,origin:86,warnings:90-92	Exact native-log lines; each named diagnostic marker occurs once.
ngspice_data_rows	2284	Exact native-log line 218.
ngspice_done_marker	PRESENT	Exact native-log line 220.
physical_units	UNKNOWN	Diagnostic values lack independently established unit authority.
circuit_specification_status	UNKNOWN	Diagnostic evidence is not a circuit specification result.
signoff_or_tapeout_readiness	NOT_CLAIMED	No human signoff is represented by this package.
