# CDL-vs-deck connectivity audit, 2026-09-25
# command (repository root, host Python 3.6.8, no container): python3 designs/g1-guardian/blocks/g1_top/sim/check_cdl_vs_deck.py --deck <deck>
# repository HEAD 270f24b2; check_cdl_vs_deck.py sha256 0a785db37d438a8a396caa53273316bcd06d36d4475f4402861faed896e2c7fd
# CDL g1_chip_top_1414.cdl sha256 af5a4dbd0b17013b11d32f31221353a22b2676ea884e3487db3f14d9c5443a36
# decks: c1414v1 (BGR586 and TRIP schematic fallback, the script default) and c1414fullc (BGR586 and TRIP NF4 extractions)
# result: both exit 0, 0 unexplained differences. Device fingerprint: c1414v1 identical for bgr/sense/trip/gate;
#   c1414fullc g1_trip differs (rppd 1070 vs 1080, sg13_lv_nmos 43 vs 57); the extraction lists folded/segmented devices separately (g1_trip/sim/postlayout/README.md: the NF4 pair extracts as 4+4 fingers); not investigated further. The script does not fail on fingerprints.
### deck c_mid_pex_c1414_tl_tt_27C_clockfix_compact_functional_c1414v1.cir sha256 8031ecf10eb862c77c3b836d45bea370f8d1b54d2021d47252cd0aa74124c10d
# CDL  designs/g1-guardian/blocks/g1_padring/netlist/g1_chip_top_1414.cdl
# deck designs/g1-guardian/blocks/g1_top/sim/decks/c_mid_pex_c1414_tl_tt_27C_clockfix_compact_functional_c1414v1.cir
block.pin                                | CDL net              | deck net    | status / explanation
bgr.vdd                                  | VDDA                 | vdda        | same, loads differ -- CDL-only: ls_en.vdda, ls_mode.vdda, ls_r4.vdda, t2f.vdd, pad07_vdda.pad
bgr.vss                                  | VSS                  | 0           | differs -- deck ties IOVSS and VSS to node 0 (single board ground) [CDL net -> deck ['0']; deck net <- CDL ['iovss', 'vss']; deck-only pins: pad08_sense_p.iovss, pad09_sense_n.iovss, pad18_vref.iovss]
bgr.r4                                   | i_core_bgr_r4_33     | r4          | same, loads differ -- CDL-only: ls_r4.out (CDL: RTL bgr_r4 through g1_ls_up; deck: Vr4 0 V = RTL reset value (TEMP_CTRL.BGR_R4 = 0))
bgr.vref                                 | i_core_vref          | vref        | same, loads differ -- CDL-only: t2f.vref (CDL: vref also loads G1_T2F (mode switch MMX1); T2F not in deck)
bgr.iptat                                | i_core_iptat         | iptat       | same
bgr.pbias                                | i_core_pbias         | pbias       | same, loads differ -- CDL-only: t2f.pbias (CDL: bias to G1_T2F; T2F not in deck (BGR mirror output unloaded))
bgr.pcasc                                | i_core_pcasc         | pcasc       | same, loads differ -- CDL-only: t2f.pcasc (CDL: bias to G1_T2F; T2F not in deck (BGR mirror output unloaded))
bgr.vbe                                  | i_core_unused_vbe    | vbe         | same
bgr.dvbe                                 | i_core_dvbe          | dvbe        | same
digital.bgr_r4                           | i_core_bgr_r4_12     | -           | not in deck -- wrapper-internal wire (unconnected); CDL to g1_ls_up -> bgr.r4; deck: wrapper-internal, bgr.r4 tied 0 V
digital.clk_div_out                      | i_core_clk_div_out   | -           | not in deck -- wrapper-internal wire (unconnected); open in CDL; wrapper-internal in deck
digital.clr_d                            | i_core_clr_d         | clr_d       | same -- via dac_bridge dac
digital.cmp_clk                          | i_core_cmp_clk       | cmp_clk     | same -- via dac_bridge dac
digital.cmp_hard                         | i_core_cmp_hard      | cmp_hard    | same -- via adc_bridge adc
digital.cmp_soft                         | i_core_cmp_soft      | cmp_soft    | same -- via adc_bridge adc
digital.en                               | en_i                 | -           | not in deck -- digital stimulus (d_source dsrc) -> d_en; RTL en from d_source with the pad-PWL edge times (README numerical note 7); CDL: EN pad p2c en_i, shared with g1_gate en_core
digital.fast_en                          | i_core_fast_en       | fast_en     | same -- via dac_bridge dac
digital.fault_n                          | i_core_fault_n_dig   | -           | not in deck -- wrapper-internal wire (unconnected); open in CDL (FAULT_N pad is driven by g1_gate fault_core); wrapper-internal
digital.gate_en                          | i_core_gate_en       | dig_gate_en | same -- via dac_bridge dac
digital.osc_clk                          | i_core_osc_clk       | osc_clk     | same, loads differ -- CDL-only: osc.osc_clk (CDL driven by g1_osc; deck by the ideal Bosc_clk (README numerical note 4))
digital.osc_en                           | i_core_osc_en        | osc_en      | same, loads differ -- CDL-only: osc.en (CDL to g1_osc.en; deck: only gates the ideal clock (Bosc))
digital.por_n                            | net                  | -           | not in deck -- tied 1'b1 in wrapper; CDL tiehi; wrapper ties por_n = 1'b1 (same function)
digital.sclk                             | i_core_sclk_i        | -           | not in deck -- digital stimulus (d_source dsrc) -> d_sclk; RTL sclk from d_source (README numerical note 7)
digital.sdi                              | i_core_sdi_i         | -           | not in deck -- digital stimulus (d_source dsrc) -> d_sdi; RTL sdi from d_source (README numerical note 7)
digital.sdo                              | i_core_sdo_o         | sdo         | same, loads differ -- CDL-only: pad16_sdo.c2p (SDO pad not in deck; RTL sdo on a monitor dac only)
digital.t2f_en                           | i_core_t2f_en_12     | -           | not in deck -- wrapper-internal wire (unconnected); CDL to g1_ls_up -> t2f.en; T2F not in deck
digital.t2f_mode                         | i_core_t2f_mode_12   | -           | not in deck -- wrapper-internal wire (unconnected); CDL to g1_ls_up -> t2f.mode; T2F not in deck
digital.trip                             | i_core_trip          | dig_trip    | same -- via dac_bridge dac
digital.trip_d                           | i_core_trip_d        | trip_d      | same -- via dac_bridge dac
digital.trip_set_sel                     | i_core_trip_set_sel  | -           | not in deck -- wrapper-internal wire (unconnected); open in CDL (TRIP_SET path not built); wrapper-internal
digital.tripped                          | i_core_tripped       | tripped     | same -- via adc_bridge adc
digital.VDD                              | VDD                  | -           | not in deck -- not a g1_dig_cosim/g1_digital connection; RTL co-simulation has no supply pin (digital supply current not simulated, README)
digital.VSS                              | VSS                  | -           | not in deck -- not a g1_dig_cosim/g1_digital connection; RTL co-simulation has no supply pin
digital.dac_hard[7]                      | i_core_dac_hard_7_   | hard7       | same -- via dac_bridge dac
digital.dac_hard[6]                      | i_core_dac_hard_6_   | hard6       | same -- via dac_bridge dac
digital.dac_hard[5]                      | i_core_dac_hard_5_   | hard5       | same -- via dac_bridge dac
digital.dac_hard[4]                      | i_core_dac_hard_4_   | hard4       | same -- via dac_bridge dac
digital.dac_hard[3]                      | i_core_dac_hard_3_   | hard3       | same -- via dac_bridge dac
digital.dac_hard[2]                      | i_core_dac_hard_2_   | hard2       | same -- via dac_bridge dac
digital.dac_hard[1]                      | i_core_dac_hard_1_   | hard1       | same -- via dac_bridge dac
digital.dac_hard[0]                      | i_core_dac_hard_0_   | hard0       | same -- via dac_bridge dac
digital.dac_soft[7]                      | i_core_dac_soft_7_   | soft7       | same -- via dac_bridge dac
digital.dac_soft[6]                      | i_core_dac_soft_6_   | soft6       | same -- via dac_bridge dac
digital.dac_soft[5]                      | i_core_dac_soft_5_   | soft5       | same -- via dac_bridge dac
digital.dac_soft[4]                      | i_core_dac_soft_4_   | soft4       | same -- via dac_bridge dac
digital.dac_soft[3]                      | i_core_dac_soft_3_   | soft3       | same -- via dac_bridge dac
digital.dac_soft[2]                      | i_core_dac_soft_2_   | soft2       | same -- via dac_bridge dac
digital.dac_soft[1]                      | i_core_dac_soft_1_   | soft1       | same -- via dac_bridge dac
digital.dac_soft[0]                      | i_core_dac_soft_0_   | soft0       | same -- via dac_bridge dac
digital.osc_trim[3]                      | i_core_osc_trim_3_   | trim3       | same, loads differ -- CDL-only: osc.trim[3] (CDL to g1_osc.trim; osc not in deck (trim bits on monitor dac only))
digital.osc_trim[2]                      | i_core_osc_trim_2_   | trim2       | same, loads differ -- CDL-only: osc.trim[2] (CDL to g1_osc.trim; osc not in deck (trim bits on monitor dac only))
