metric_name	value	evidence_boundary
vrth_transition_marker_count	1	Exact native log.
marker_site	state0_writeback_at_1075	Exact marker label; final source writeback is physical line 1076 after inserted capture.
stored_before_hex	0x1.c72b23f8bee14p+4	Finite positive; exact marker.
Vrth_local_hex	-0x1.21ba19b869b9ep+6	Finite negative; exact marker.
state0_after_write_hex	-0x1.21ba19b869b9ep+6	Finite and byte-text equal to printed local value; exact marker.
state1_hex	0x0p+0	Finite zero; exact marker.
state2_hex	0x0p+0	Finite zero; exact marker.
CKTtime	0	Exact marker.
CKTmode	1056	Exact marker.
tempnode_current_rhs_hex	0x0p+0	Finite zero current read; marker explicitly says not a causal sum.
Vrth_local_source	CKTrhsOld_plus_VBICtempNode	Exact final source physical line 504.
supported_transition	FINITE_POSITIVE_STORED_TO_FINITE_NEGATIVE_OLD_RHS_THERMAL_NODE	Exact marker plus static source assignment/writeback chain.
upstream_solver_cause	UNKNOWN	Run does not establish why the old-RHS thermal-node value was negative.
marker_order	transition:3,temp:6,ibe:10,term:15,decomp:45,stamp:80,origin:83,warnings:87-88	Exact native-log lines; each marker/warning occurs once.
physical_units	UNKNOWN	Diagnostic values lack independently established unit authority.
circuit_status	UNKNOWN	Diagnostic evidence is not a circuit specification result.
