metric_name	value	evidence_boundary
ibe_source_marker_count	1	Exact native log
runtime_branch	p32_eq_1_and_p98_le_0	Exact Ibe-source marker branch label and printed selector values
p32_hex	0x1p+0	Finite; exact Ibe-source marker
p98_hex	0x0p+0	Finite; exact Ibe-source marker
Ibe_isfinite	0	Exact Ibe-source marker output
IBEIatT_isfinite	0	First printed non-finite immediate operand
IBENatT_isfinite	0	Printed immediate operand
expi_isfinite	1	Printed immediate operand
expn_isfinite	1	Printed immediate operand
argi_isfinite	1	Printed supporting operand
argn_isfinite	1	Printed supporting operand
Vbei_isfinite	1	Printed call input
Vtv_isfinite	1	Printed supporting value; observed negative
Tdev_isfinite	1	Printed supporting value; observed negative
Vrth_isfinite	1	Printed call input; observed negative
rT_isfinite	1	Printed supporting value; observed negative
dT_isfinite	1	Printed supporting value; observed negative
p31_p33_p34_p35_isfinite	TRUE	All four printed model parameters are finite
first_printed_nonfinite_immediate_operand	IBEIatT	Ibe-source marker print order; does not identify an unprinted earlier non-finite
marker_order	ibe:3,term:8,decomp:38,stamp:73,origin:76,warnings:80-81	Exact native-log physical lines; each marker/warning occurs once
negative_rT_power_hypothesis	PROVISIONAL	Static chain contains pow(rT,p[79]), but this run did not print p[79] or xvar2; not a measured root cause
upstream_cause	UNKNOWN	Run does not identify the first upstream non-finite computation
physical_units	UNKNOWN	Diagnostic values are printed without established unit authority
solver_implications	UNKNOWN	One observation does not establish solver-level consequences
circuit_status	UNKNOWN	Diagnostic evidence is not a circuit specification result
